month,unique_orders,revenue,avg_price,total_events,unique_products
1,130703,27744289.92,104.28419974064539,266045,9945
2,157085,33291413.34,102.98266889801776,323272,10451
3,156134,38965078.41,123.89138154589678,314510,10384
4,41649,7737673.82,133.73790241457388,57857,7366
5,129626,29198827.37,130.20716868302645,224249,10290
6,211552,46858017.81,116.10129389290282,403596,12230
7,107752,26563451.26,159.14549052500405,166913,11418
8,176744,53493600.53,177.67592196602828,301074,12907
9,198028,50539131.49,139.64094885085737,361922,13247
10,71316,20082069.31,173.03626071671678,116057,10848
11,45664,12265650.17,157.81845303654143,77720,9466
