category_level1,category_level2,unique_orders,revenue,avg_price,total_events,unique_products
electronics,smartphone,312321,101899016.05,287.2441938902936,354747,652
appliances,kitchen,301925,78231793.91,211.3424623277124,370166,2654
computers,notebook,64653,31239928.6,439.4852299424617,71083,904
electronics,video,68901,29109901.21,408.56575123861387,71249,554
appliances,environment,121733,18825100.87,146.81875581032602,128220,775
electronics,tablet,19068,5383581.62,276.2652855749987,19487,238
electronics,audio,67325,5062934.09,71.93200383604461,70385,913
computers,peripherals,67816,4907313.04,61.9367803006399,79231,1009
electronics,clocks,15304,4776207.5200000005,302.2916151898734,15800,242
computers,components,35692,3531889.37,81.26758789691671,43460,1386
appliances,iron,39141,2988729.57,74.86609979709927,39921,152
furniture,kitchen,59954,2616295.49,37.271821212337066,70195,820
apparel,glove,4565,1840920.49,399.67878636561005,4606,99
appliances,sewing_machine,7474,1294799.04,172.52485542971354,7505,68
appliances,personal,48318,1232478.28,24.6549896977335,49989,271
kids,skates,2337,1028510.92,436.36441238862966,2357,64
computers,desktop,2340,994855.57,401.4752098466505,2478,116
furniture,living_room,30280,945687.59,28.435745557326275,33257,541
computers,network,23268,810676.87,34.095002313159775,23777,116
electronics,telephone,11817,600411.84,50.17648671235166,11966,112
construction,tools,12008,450137.78,36.324869270497096,12392,345
appliances,ironing_board,9337,447146.36,47.25706615937434,9462,29
electronics,camera,709,390173.43,532.2966302864938,733,183
furniture,bedroom,15580,378177.95,23.325599827299083,16213,124
sport,bicycle,1407,372825.57,258.18945290858727,1444,127
auto,accessories,3116,313301.47,97.05745662949194,3228,150
accessories,bag,13020,260368.29,19.31228971962617,13482,284
medicine,tools,3349,213474.74,63.534148809523806,3360,62
computers,ebooks,872,156708.97,178.6875370581528,877,22
stationery,cartrige,6071,132491.25,12.40438629341822,10681,200
stationery,battery,21424,79164.78,3.2019406244944184,24724,59
furniture,bathroom,756,73010.31,94.9418855656697,769,61
kids,toys,1626,71981.48,41.487884726224785,1735,166
sport,trainer,204,64027.9,292.36484018264844,219,50
appliances,steam_cleaner,160,36648.38,227.6296894409938,161,13
apparel,tshirt,1438,36617.28,21.12941719561454,1733,40
computers,gaming,354,33194.93,89.95915989159892,369,13
apparel,shirt,846,30303.74,31.798258132214062,953,20
country_yard,lawn_mower,170,29470.8,173.35764705882352,170,30
stationery,paper,3453,16265.48,4.422370853724851,3678,44
country_yard,cultivator,39,14451.9,370.5615384615385,39,8
construction,components,117,9648.23,71.46837037037037,135,53
apparel,trousers,267,8214.0,27.75,296,8
sport,tennis,177,6893.35,34.99162436548224,197,30
apparel,sock,26,6638.47,255.32576923076925,26,17
kids,carriage,35,6005.41,150.13524999999998,40,20
stationery,stapler,188,5576.85,29.19816753926702,191,27
kids,dolls,711,5499.46,7.352219251336899,748,36
country_yard,weather_station,100,2473.62,24.49128712871287,101,7
accessories,umbrella,32,2280.95,67.08676470588235,34,14
furniture,universal,20,1510.65,68.6659090909091,22,16
kids,swing,8,925.76,115.72,8,4
kids,bottles,59,846.22,11.282933333333334,75,40
sport,snowboard,2,755.05,251.6833333333333,3,3
sport,ski,10,733.61,43.15352941176471,17,16
electronics,calculator,42,519.12,12.36,42,18
apparel,shoes,2,411.53,205.765,2,2
kids,fmcg,11,203.92000000000002,18.53818181818182,11,4
sport,diving,6,162.8,16.28,10,7
apparel,costume,2,42.769999999999996,21.384999999999998,2,2
country_yard,watering,3,28.82,5.764,5,4
