month,category,unique_orders,revenue,avg_price,total_events,unique_products
8,electronics,66511,23800203.05,314.0448506320429,75786,1569
9,electronics,64124,22489964.79,304.7461996775024,73799,1669
6,electronics,64519,17302437.26,229.04393926557415,75542,1564
6,appliances,81875,17158815.24,167.69756880375292,102320,2562
3,electronics,49625,15274401.27,248.6310718820197,61434,1289
9,appliances,67137,13978598.95,166.44161397868666,83985,2645
8,appliances,57336,13886947.51,187.48663421944403,74069,2593
2,electronics,47301,13443260.05,226.47001431940703,59360,1340
3,appliances,52733,12717613.14,183.38303013698632,69350,2297
5,electronics,44230,12699346.49,256.355656062013,49538,1320
1,electronics,42223,11678524.42,223.9624972672356,52145,1318
7,electronics,35548,11365599.81,288.474321937105,39399,1405
2,appliances,49578,10132286.02,160.05759541261216,63304,2252
10,electronics,24589,9744157.23,346.86591307133705,28092,1347
8,computers,28035,9627001.73,266.59471435296723,36111,1919
5,appliances,45592,9591158.64,172.12516851512868,55722,2223
7,appliances,40695,8318667.73,169.20930251006877,49162,2334
1,appliances,38794,7914531.43,161.83481096002453,48905,2147
9,computers,27085,6569069.48,192.82228131971354,34068,1941
11,electronics,13161,5984957.01,398.8110221896448,15007,1218
10,appliances,21605,4593696.5,172.86432226988785,26574,2146
6,computers,21149,4165847.17,157.0180984508688,26531,1729
3,computers,18352,4036913.89,168.8025879155342,23915,1436
7,computers,13221,3595417.46,217.48230462134043,16532,1612
4,electronics,13098,3439893.5,240.43429789613475,14307,991
11,appliances,14892,2966436.01,162.82994895158632,18218,1997
10,computers,9912,2850279.07,227.1138701195219,12550,1567
2,computers,15727,2751564.9,138.3599788806758,19887,1377
1,computers,13757,2484058.34,142.467213810507,17436,1281
5,computers,12823,2458423.02,157.06766036289292,15652,1409
4,appliances,12053,1797945.24,130.1444256243214,13815,1653
11,computers,6468,1596070.69,196.31865805658055,8130,1332
4,computers,8767,1539921.6,147.1778266271624,10463,1191
9,furniture,13859,590916.4,32.63108951350158,18109,854
2,furniture,13951,576744.75,31.711923351844725,18187,697
6,furniture,14347,527711.04,28.63481686472408,18429,799
8,furniture,9828,475424.25,36.94911401259035,12867,870
3,furniture,11101,472195.78,33.127247088536556,14254,689
1,furniture,9346,396058.86,33.257104710722984,11909,647
5,furniture,7201,297702.59,31.721107085775177,9385,713
6,apparel,886,254743.56999999998,256.02368844221104,995,106
8,apparel,851,254485.04,288.53179138321997,882,108
6,kids,820,247167.89,295.3021385902031,837,96
7,furniture,4749,231241.22,38.076933970031284,6073,793
9,apparel,830,230169.49,268.8895911214953,856,100
10,furniture,4092,222155.17,41.018310561299856,5416,722
8,kids,848,214643.08,240.63125560538114,892,161
3,apparel,777,205136.36,235.78891954022987,870,94
5,apparel,1015,198002.72,157.39484896661367,1258,95
7,kids,618,192055.33,299.6182995319813,641,122
1,apparel,544,190201.91999999998,333.68757894736837,570,60
5,kids,551,189021.17,336.3366014234876,562,65
2,apparel,707,175046.09,196.68099999999998,890,95
11,furniture,3009,136885.16,34.49726814516129,3968,648
7,apparel,433,129151.31999999999,277.14875536480685,466,88
4,apparel,338,120242.70999999999,324.1043396226415,371,71
10,apparel,314,116032.5,358.125,324,62
8,construction,1300,102774.34,75.29255677655678,1365,189
9,construction,1825,99957.06,52.52604308985812,1903,205
9,sport,520,97503.69,186.07574427480915,524,44
9,kids,630,90186.74,135.61915789473684,665,134
4,furniture,1371,87646.77,47.14726734803658,1859,523
10,construction,830,82483.27,94.69950631458094,871,176
8,sport,202,69262.43,325.1757276995305,213,79
6,sport,232,65330.24,274.4968067226891,238,50
5,sport,273,60682.27,214.42498233215545,283,33
3,kids,285,59767.33,203.2902380952381,294,62
7,sport,166,55321.27,288.1316145833333,192,79
11,apparel,130,49936.56,367.1805882352941,136,29
9,auto,458,45656.31,94.91956340956341,481,73
10,sport,131,44841.48,302.982972972973,148,57
2,accessories,2048,39742.87,18.790955082742318,2115,117
10,kids,274,39177.01,127.19808441558442,308,120
6,medicine,584,38218.77,65.10863713798977,587,39
2,auto,338,38162.32,110.2957225433526,346,36
7,construction,733,37486.3,48.93772845953003,766,143
8,auto,404,37440.04,90.87388349514563,412,67
9,accessories,1770,36411.090000000004,19.89677049180328,1830,144
1,accessories,1912,36294.88,18.451896288764615,1967,106
8,accessories,1639,34500.54,20.140420315236426,1713,135
1,auto,278,34158.82,118.60701388888889,288,33
3,auto,286,34151.590000000004,116.16187074829934,294,38
9,stationery,4546,34147.09,5.814249957432317,5873,160
6,auto,373,33443.74,86.64181347150259,386,58
6,construction,1667,33373.81,19.448607226107224,1716,124
10,auto,323,31624.41,91.13662824207493,347,80
2,stationery,4519,30960.41,5.327897091722595,5811,137
6,stationery,4288,30074.83,5.693833775085196,5282,170
3,stationery,3506,29919.31,6.7098699259923755,4459,174
6,accessories,1519,29475.48,18.84621483375959,1564,138
3,accessories,1434,28337.32,19.27708843537415,1470,114
8,medicine,447,27984.88,62.46625,448,38
11,construction,575,27301.69,45.96244107744108,594,123
9,medicine,410,26369.87,64.00453883495145,412,40
2,kids,293,26223.95,84.5933870967742,310,66
1,stationery,3955,25586.01,5.162633171912833,4956,150
4,kids,81,22992.06,270.4948235294118,85,41
7,auto,258,21843.39,82.11800751879699,266,63
8,stationery,2765,21769.87,5.9627143248425085,3651,143
2,medicine,312,21604.86,69.24634615384616,312,45
3,medicine,332,21482.99,64.51348348348348,333,43
5,medicine,348,20623.65,58.92471428571429,350,35
7,medicine,331,20333.59,61.24575301204819,332,38
5,stationery,2580,18699.31,5.794642082429501,3227,144
2,construction,1446,18351.96,12.535491803278688,1464,75
1,kids,189,18295.3,92.40050505050505,198,54
11,sport,49,17666.34,327.15444444444444,54,33
1,construction,1297,17357.83,13.070655120481929,1328,61
3,construction,1145,17211.69,14.710846153846152,1170,65
5,accessories,816,16567.49,19.653013048635827,843,114
3,sport,88,16526.84,185.69483146067415,89,15
7,accessories,703,16256.64,22.08782608695652,736,128
5,construction,981,16232.630000000001,16.07191089108911,1010,70
5,auto,177,16002.1,87.4431693989071,183,38
7,stationery,1446,15122.88,7.955223566543924,1901,150
11,auto,158,14885.49,91.88574074074074,162,54
11,kids,168,14443.31,79.35884615384614,182,79
1,medicine,216,13762.99,63.7175462962963,216,43
10,accessories,549,12235.31,20.879368600682593,586,109
4,stationery,956,10969.11,8.782313851080865,1249,143
4,sport,48,9513.88,194.1608163265306,49,13
10,stationery,1225,9135.13,5.912705501618122,1545,136
10,medicine,145,8923.62,61.12068493150686,146,30
9,country_yard,36,8835.26,245.42388888888888,36,19
8,country_yard,67,8814.57,131.56074626865671,67,26
11,accessories,438,8536.39,18.51711496746204,461,93
4,medicine,138,8456.19,61.276739130434784,138,33
6,country_yard,42,7831.79,182.1346511627907,43,15
4,construction,326,7255.43,21.3395,340,52
11,stationery,1037,7114.41,5.389704545454546,1320,114
10,country_yard,37,6627.360000000001,179.11783783783784,37,15
4,auto,63,5933.26,94.17873015873016,63,29
11,medicine,86,5713.33,66.43406976744185,86,23
1,sport,54,4649.08,83.01928571428572,56,7
4,accessories,224,4291.2300000000005,18.57675324675325,231,63
2,sport,43,4100.76,93.19909090909091,44,10
7,country_yard,42,3981.11,90.47977272727273,44,17
3,country_yard,18,2668.09,148.22722222222222,18,7
5,country_yard,24,2617.2000000000003,109.05000000000001,24,10
2,country_yard,12,1908.7199999999998,159.05999999999997,12,4
1,country_yard,15,1405.63,93.70866666666667,15,5
11,country_yard,9,1009.05,112.11666666666666,9,6
4,country_yard,10,726.36,72.636,10,4
